CHAT: Jun 06 08:37:48 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:54015", id = 2} said "you will notice no TGP when i take mavericks" to all
CHAT: Jun 06 08:38:43 {name  = "Janitor 1-1 Father Earth", ucid = "171987a226faa63cfdfbd1dc2ebf1d5d", ip = "104.32.18.28:61298", id = 3} said "with how fiddly the falcon is with weight distribution that makes sense" to all
CHAT: Jun 06 08:38:53 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:54015", id = 2} said "yeah it helps" to all
CHAT: Jun 06 08:39:19 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "well its not that.. if youi fly hoggit missions you fly at night sometimes" to all
CHAT: Jun 06 08:39:31 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:54015", id = 2} said "i use TGP in A10 for maverick shots past 5 miles anything closer I use Just the seeker head" to all
CHAT: Jun 06 08:39:40 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:54015", id = 2} said "yeah at night you would need TGP" to all
CHAT: Jun 06 08:40:14 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "thats what made me buy the a10cII" to all
CHAT: Jun 06 08:40:27 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "or id probably fly the ac10a forever" to all
CHAT: Jun 06 08:40:40 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:54015", id = 2} said "a10c has the best TGP in the game in my opinion" to all
CHAT: Jun 06 08:42:05 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "they used to have a md for night vision for a10a but it doesnt work anymore" to all
CHAT: Jun 06 08:42:05 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:54015", id = 2} said "you will want to learn how to use harms / create your own waypoints with the F-16 as well" to all
CHAT: Jun 06 08:42:22 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:54015", id = 2} said "The range on harms is over powered as hell" to all
CHAT: Jun 06 08:42:27 {name  = "Janitor 1-1 Father Earth", ucid = "171987a226faa63cfdfbd1dc2ebf1d5d", ip = "104.32.18.28:61298", id = 3} said "key points" to all
CHAT: Jun 06 08:42:38 {name  = "Janitor 1-1 Father Earth", ucid = "171987a226faa63cfdfbd1dc2ebf1d5d", ip = "104.32.18.28:61298", id = 3} said "new modes make 40-60nm shots no sweat" to all
CHAT: Jun 06 08:43:04 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "with harms?" to all
CHAT: Jun 06 08:43:11 {name  = "Janitor 1-1 Father Earth", ucid = "171987a226faa63cfdfbd1dc2ebf1d5d", ip = "104.32.18.28:61298", id = 3} said "yessir" to all
CHAT: Jun 06 08:43:14 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "damn" to all
CHAT: Jun 06 08:43:18 {name  = "Janitor 1-1 Father Earth", ucid = "171987a226faa63cfdfbd1dc2ebf1d5d", ip = "104.32.18.28:61298", id = 3} said "EOM in particular" to all
CHAT: Jun 06 08:44:23 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:54015", id = 2} said "furthest shot ive made is 66 miles... i could probably do further if I really really tried" to all
CHAT: Jun 06 08:45:08 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "i dont think i get 30nm in f18" to all
CHAT: Jun 06 08:45:20 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:54015", id = 2} said "pre brief mode ?" to all
CHAT: Jun 06 08:45:33 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "too" to all
CHAT: Jun 06 08:46:10 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:54015", id = 2} said "6 mavs in the air no TGP" to all
CHAT: Jun 06 08:46:47 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "i need to learn both methods" to all
CHAT: Jun 06 08:46:54 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "that was slick" to all
CHAT: Jun 06 08:47:46 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "ill get started after i finish motogo quals" to all
CHAT: Jun 06 08:48:00 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "irl" to all
CHAT: Jun 06 08:48:12 {name  = "STRIKER 45", ucid = "195cc5412bf72686f999063e45e316f5", ip = "50.5.55.123:54015", id = 2} said "yeah update 2.7 changed harms a lot they are amazing now" to all
CHAT: Jun 06 08:49:51 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "father ive been so close to playing squad just fyi" to all
CHAT: Jun 06 08:50:28 {name  = "Janitor 1-1 Father Earth", ucid = "171987a226faa63cfdfbd1dc2ebf1d5d", ip = "104.32.18.28:61298", id = 3} said "not in your library?" to all
CHAT: Jun 06 08:50:40 {name  = "Cornpop 1-1 | BadDude", ucid = "4e348270f05a3bf76bd685fe39f866a6", ip = "73.183.148.137:57924", id = 11} said "time commitment" to all
CHAT: Jun 06 08:51:13 {name  = "Griffin 1-1 | LDragon", ucid = "64b8bfe9a98179a6ae5de97883f50cda", ip = "49.51.136.204:61444", id = 9} said "PAMPERS I am at the end of the rwy" to all
CHAT: Jun 06 08:51:19 {name  = "Griffin 1-1 | LDragon", ucid = "64b8bfe9a98179a6ae5de97883f50cda", ip = "49.51.136.204:61444", id = 9} said "be sure to watch sry for that" to all
